SaleId,Category,Product,Qty,Sale,Currency
Japan_TX1,Smart Phone,Smart Phone 3,21.0,609.2,JPY
Japan_TX2,Shoes,Shoes 5,24.0,539.49,JPY
Japan_TX3,Smart Phone,Smart Phone 2,21.0,928.16,JPY
Japan_TX4,Perfumes,Perfumes 1,42.0,,JPY
Japan_TX5,Smart Phone,Smart Phone 6,,767.72,JPY
Japan_TX6,Smart Phone,Smart Phone 3,7.0,545.54,JPY
Japan_TX7,Smart Phone,Smart Phone 6,9.0,,JPY
Japan_TX8,Jeans,Jeans 4,8.0,,JPY
Japan_TX9,Water Bottles,Water Bottles 2,2.0,645.56,JPY
Japan_TX10,Smart Phone,Smart Phone 2,34.0,1148.66,JPY
Japan_TX11,Water Bottles,Water Bottles 1,21.0,689.94,JPY
Japan_TX12,Perfumes,Perfumes 1,45.0,1061.54,JPY
Japan_TX13,Tshirts,,1.0,503.87,JPY
Japan_TX14,Shoes,Shoes 3,5.0,955.75,JPY
Japan_TX15,Smart Phone,Smart Phone 4,48.0,968.19,JPY
Japan_TX16,Perfumes,Perfumes 6,1.0,1180.2,JPY
Japan_TX17,Shoes,Shoes 2,14.0,865.91,JPY
Japan_TX18,Jeans,,32.0,720.05,JPY
Japan_TX19,Smart Phone,Smart Phone 5,29.0,553.89,JPY
Japan_TX20,Shoes,Shoes 4,45.0,573.85,JPY
Japan_TX21,Smart Phone,Smart Phone 4,11.0,585.46,JPY
Japan_TX22,Tshirts,Tshirts 1,27.0,1072.61,JPY
Japan_TX23,Tshirts,Tshirts 6,9.0,984.71,JPY
Japan_TX24,Jeans,Jeans 3,32.0,782.69,JPY
Japan_TX25,Water Bottles,Water Bottles 4,39.0,710.61,JPY
Japan_TX26,Tshirts,Tshirts 3,2.0,523.14,JPY
Japan_TX27,Tshirts,Tshirts 6,44.0,887.03,JPY
Japan_TX28,Smart Phone,,17.0,757.45,JPY
Japan_TX29,Smart Phone,Smart Phone 6,48.0,605.5,JPY
Japan_TX30,Shoes,Shoes 5,36.0,,JPY
Japan_TX31,Shoes,Shoes 4,41.0,770.71,JPY
Japan_TX32,Jeans,Jeans 3,25.0,879.01,JPY
Japan_TX33,Jeans,Jeans 4,48.0,870.76,JPY
Japan_TX34,Jeans,Jeans 6,37.0,632.09,JPY
Japan_TX35,Tshirts,Tshirts 3,33.0,558.9,JPY
Japan_TX36,Smart Phone,Smart Phone 4,48.0,964.45,JPY
Japan_TX37,Perfumes,Perfumes 6,35.0,656.99,JPY
Japan_TX38,Tshirts,,48.0,954.74,JPY
Japan_TX39,Shoes,Shoes 1,22.0,670.79,JPY
Japan_TX40,Water Bottles,Water Bottles 3,27.0,745.05,JPY
Japan_TX41,Tshirts,Tshirts 1,48.0,517.02,JPY
Japan_TX42,Tshirts,,30.0,1140.41,JPY
Japan_TX43,Shoes,Shoes 5,49.0,900.6,JPY
Japan_TX44,Smart Phone,Smart Phone 5,23.0,839.7,JPY
Japan_TX45,Jeans,Jeans 6,40.0,,JPY
Japan_TX46,Jeans,Jeans 6,27.0,725.79,JPY
Japan_TX47,Tshirts,Tshirts 6,29.0,793.85,JPY
Japan_TX48,Jeans,Jeans 5,,,JPY
Japan_TX49,Smart Phone,Smart Phone 1,,535.54,JPY
Japan_TX50,Shoes,Shoes 4,32.0,525.16,JPY
Japan_TX51,Tshirts,Tshirts 6,22.0,527.18,JPY
Japan_TX52,Water Bottles,Water Bottles 5,44.0,820.09,JPY
Japan_TX53,Water Bottles,,47.0,596.85,JPY
Japan_TX54,Perfumes,Perfumes 2,17.0,803.46,JPY
Japan_TX55,Jeans,,,1085.19,JPY
Japan_TX56,Tshirts,Tshirts 1,1.0,667.85,JPY
Japan_TX57,Water Bottles,Water Bottles 5,16.0,959.98,JPY
Japan_TX58,Perfumes,Perfumes 3,16.0,584.12,JPY
Japan_TX59,Perfumes,Perfumes 5,,1185.66,JPY
Japan_TX60,Perfumes,Perfumes 2,21.0,621.24,JPY
Japan_TX61,Water Bottles,Water Bottles 2,5.0,682.63,JPY
Japan_TX62,Jeans,Jeans 2,5.0,931.1,JPY
Japan_TX63,Jeans,,27.0,974.02,JPY
Japan_TX64,Shoes,Shoes 1,43.0,770.27,JPY
Japan_TX65,Tshirts,Tshirts 3,13.0,764.08,JPY
Japan_TX66,Perfumes,,17.0,769.78,JPY
Japan_TX67,Jeans,,41.0,985.02,JPY
Japan_TX68,Jeans,Jeans 5,,1177.31,JPY
Japan_TX69,Smart Phone,Smart Phone 1,35.0,788.83,JPY
Japan_TX70,Jeans,Jeans 6,12.0,1025.61,JPY
Japan_TX71,Tshirts,Tshirts 6,20.0,724.03,JPY
Japan_TX72,Shoes,,,1093.0,JPY
Japan_TX73,Tshirts,Tshirts 6,19.0,558.3,JPY
