SaleId,Category,Product,Qty,Sale,Currency
Japan_TX1,Perfumes,Perfumes 5,19.0,,JPY
Japan_TX2,Perfumes,Perfumes 3,,1082.71,JPY
Japan_TX3,Smart Phone,Smart Phone 4,44.0,,JPY
Japan_TX4,Jeans,,15.0,1049.62,JPY
Japan_TX5,Smart Phone,Smart Phone 3,7.0,545.54,JPY
Japan_TX6,Smart Phone,Smart Phone 2,2.0,808.11,JPY
Japan_TX7,Perfumes,Perfumes 3,36.0,1028.75,JPY
Japan_TX8,Water Bottles,Water Bottles 6,,814.83,JPY
Japan_TX9,Smart Phone,Smart Phone 6,40.0,1023.12,JPY
Japan_TX10,Jeans,Jeans 4,41.0,615.69,JPY
Japan_TX11,,,1.0,503.87,JPY
Japan_TX12,Tshirts,Tshirts 3,5.0,955.75,JPY
Japan_TX13,Tshirts,Tshirts 2,,968.19,JPY
Japan_TX14,Smart Phone,Smart Phone 3,35.0,999.27,JPY
Japan_TX15,Jeans,Jeans 6,9.0,577.62,JPY
Japan_TX16,Shoes,,32.0,597.53,JPY
Japan_TX17,Shoes,Shoes 5,,612.85,JPY
Japan_TX18,Perfumes,Perfumes 5,28.0,791.56,JPY
Japan_TX19,Jeans,Jeans 1,33.0,953.38,JPY
Japan_TX20,,,3.0,,JPY
Japan_TX21,Tshirts,Tshirts 1,44.0,617.8,JPY
Japan_TX22,Tshirts,Tshirts 6,12.0,848.07,JPY
Japan_TX23,Tshirts,Tshirts 3,2.0,523.14,JPY
Japan_TX24,Tshirts,Tshirts 2,26.0,669.44,JPY
Japan_TX25,Shoes,Shoes 1,24.0,1188.4,JPY
Japan_TX26,Tshirts,Tshirts 3,29.0,728.17,JPY
Japan_TX27,Jeans,Jeans 3,7.0,983.66,JPY
Japan_TX28,Jeans,Jeans 3,25.0,879.01,JPY
Japan_TX29,Smart Phone,Smart Phone 1,49.0,565.17,JPY
Japan_TX30,Perfumes,Perfumes 1,19.0,1127.98,JPY
Japan_TX31,Tshirts,Tshirts 3,36.0,924.5,JPY
Japan_TX32,,,35.0,698.74,JPY
Japan_TX33,Jeans,Jeans 5,33.0,,JPY
Japan_TX34,Smart Phone,Smart Phone 3,33.0,856.17,JPY
Japan_TX35,Water Bottles,Water Bottles 6,8.0,1056.37,JPY
Japan_TX36,Smart Phone,Smart Phone 1,48.0,517.02,JPY
Japan_TX37,Tshirts,Tshirts 6,6.0,510.82,JPY
Japan_TX38,Tshirts,Tshirts 3,21.0,687.93,JPY
Japan_TX39,Jeans,Jeans 6,40.0,,JPY
Japan_TX40,Water Bottles,Water Bottles 3,26.0,987.91,JPY
Japan_TX41,Perfumes,Perfumes 2,25.0,557.12,JPY
Japan_TX42,,,20.0,991.38,JPY
Japan_TX43,Smart Phone,Smart Phone 4,32.0,525.16,JPY
Japan_TX44,Water Bottles,Water Bottles 2,49.0,,JPY
Japan_TX45,Water Bottles,Water Bottles 5,44.0,820.09,JPY
Japan_TX46,Smart Phone,Smart Phone 3,16.0,861.41,JPY
Japan_TX47,Tshirts,Tshirts 3,26.0,,JPY
Japan_TX48,Tshirts,Tshirts 1,1.0,667.85,JPY
Japan_TX49,,,45.0,1168.41,JPY
Japan_TX50,Perfumes,Perfumes 3,16.0,584.12,JPY
Japan_TX51,Smart Phone,,,992.56,JPY
Japan_TX52,Jeans,Jeans 5,33.0,954.84,JPY
Japan_TX53,,,36.0,,JPY
Japan_TX54,Jeans,Jeans 1,45.0,549.4,JPY
Japan_TX55,Tshirts,Tshirts 3,12.0,950.3,JPY
Japan_TX56,Shoes,Shoes 4,33.0,644.68,JPY
Japan_TX57,Smart Phone,Smart Phone 2,,735.59,JPY
Japan_TX58,Perfumes,Perfumes 2,41.0,985.02,JPY
Japan_TX59,Shoes,Shoes 4,36.0,1025.43,JPY
Japan_TX60,Tshirts,Tshirts 4,39.0,1106.98,JPY
Japan_TX61,Smart Phone,Smart Phone 5,35.0,1131.79,JPY
Japan_TX62,Tshirts,Tshirts 3,,,JPY
Japan_TX63,Shoes,,14.0,837.76,JPY
Japan_TX64,Perfumes,,21.0,1054.11,JPY
Japan_TX65,Perfumes,Perfumes 2,,809.07,JPY
Japan_TX66,Shoes,Shoes 4,44.0,1086.94,JPY
Japan_TX67,Jeans,Jeans 3,5.0,663.26,JPY
Japan_TX68,Perfumes,Perfumes 4,7.0,1027.36,JPY
Japan_TX69,Shoes,Shoes 6,10.0,577.84,JPY
Japan_TX70,Perfumes,Perfumes 6,,582.27,JPY
